title,id,brand_normalized,ddr_type,capacity_gb,speed_mhz,price_usd,cluster,cluster_8
CORSAIR Vengeance 16GB (2 x 8GB) 288-Pin PC RAM DDR5 5200 (PC5 41600) Desktop Memory Model CMK16GX5M2B5200C40,115,CORSAIR,DDR5,16,5200,269.99,0,0
CORSAIR Vengeance 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMK64GX5M2D6000C40,117,CORSAIR,DDR5,64,6000,1774.99,0,4
CORSAIR Vengeance RGB 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6400 (PC5 51200) Desktop Memory Model CMH64GX5M2N6400C32,118,CORSAIR,DDR5,64,6400,1225.99,0,1
CORSAIR Vengeance 64GB (2 x 32GB) DDR5 6000 (PC5 48000) Desktop Memory Model CMK64GX5M2B6000Z30,119,CORSAIR,DDR5,64,6000,1159.99,0,4
G.SKILL TridentZ RGB Series 16GB (2 x 8GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model F4-3200C16D-16GTZR,121,G.SKILL,DDR4,16,3200,166.0,1,7
CORSAIR Vengeance 64GB (2 x 32GB) 288-Pin PC RAM DDR5 5600 (PC5 44800) Desktop Memory Model CMH64GX5M2D5600Z40,122,CORSAIR,DDR5,64,5600,799.99,0,4
G.SKILL Flare X5 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3038F16GH2-FX5,123,G.SKILL,DDR5,32,6000,509.99,0,0
Team T-FORCE VULCAN Z 32GB (2 x 16GB) 288-Pin PC RAM DDR4 3600 (PC4 28800) Desktop Memory Model TLZGD432G3600HC18JDC01,124,Team,DDR4,32,3600,289.99,1,3
V-COLOR DDR5 TUF GAMING ALLIANCE Manta XFinity 64GB (32GBx2) 6400MHz CL32 1.4V AMD EXPO SK Hynix Original IC RGB Gaming Desktop Upgrade RAM Memory Module Black (GTMXFAL3264832KWK),125,Other,DDR5,64,6400,769.99,0,1
Kingston FURY Beast 16GB (2 x 8GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Memory (Desktop Memory) Model KF560C36BBEK2-16,126,Kingston,DDR5,16,6000,269.99,0,0
Team T-CREATE CLASSIC 32GB (2 x 16GB) DDR5 6000 (PC5 48000) Desktop Memory Model CTCCD532G6000HC48DC01,127,Team,DDR5,32,6000,429.99,0,0
Kingston FURY Beast 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Memory (Desktop Memory) Model KF560C30BBEK2-32,128,Kingston,DDR5,32,6000,479.99,0,0
CORSAIR Vengeance RGB 16GB (2 x 8GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Custom Lab GBT Wood Desktop Memory Desktop Memory Model CMH16GX5M2E6000Z36WGWL,129,CORSAIR,DDR5,16,6000,259.99,0,1
CORSAIR Dominator Titanium 64GB (2 x 32GB) DDR5 6000 (PC5 48000) Desktop Memory Model CMP64GX5M2B6000Z30W,130,CORSAIR,DDR5,64,6000,1274.99,0,4
Team T-Force Delta RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model FF4D532G6000HC30DC01,131,Team,DDR5,32,6000,469.99,0,1
Team Group Vulcan alpha 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model FLARD532G6000HC38ADC01,132,Team,DDR5,32,6000,399.99,0,0
Timetec 4GB DDR3L / DDR3 1600MHz PC3L-12800 / PC3-12800 Non-ECC Unbuffered 1.35V / 1.5V CL11 2Rx8 Dual Rank 240 Pin UDIMM Desktop PC Computer Memory RAM Module Upgrade (4GB),133,Other,DDR3,4,1600,15.99,1,2
